"<p>Shop System Plugins - Terms of use</p><p style=\"text-align: justify\">This terms of use regulates warranty and liability between Wirecard Central Eastern Europe (subsequently referred to as WDCEE) and it's contractual partners (subsequently referred to as customer or customers) which are related to the use of plugins provided by WDCEE.</p><p style=\"text-align: justify\">The Plugin is provided by WDCEE free of charge for it's customers and must be used for the purpose of WDCEE's payment platform integration only. It explicitly is not part of the general contract between WDCEE and it's customer. The plugin has successfully been tested under specific circumstances which are defined as the shopsystem's standard configuration (vendor's delivery state). The Customer is responsible for testing the plugin's functionality before putting it into production enviroment.</p><p style=\"text-align: justify\">The customer uses the plugin at own risk. WDCEE does not guarantee it's full functionality neither does WDCEE assume liability for any disadvantage related to the use of this plugin. By installing the plugin into the shopsystem the customer agrees to the terms of use. Please do not use this plugin if you do not agree to the terms of use!</p>","<p>Shop System Plugins - Nutzungsbedingungen</p><p style=\"text-align: justify\">Diese Vereinbarung regelt die Gewähreistung und Haftung zwischen Wirecard Central Eastern Europe (nachfolgend kurz WDCEE) und seinen Vertragspartnern (nachfolgend kurz Kunde oder Kunden) betreffend Verwendung von WDCEE bereitgestellten Plugins.</p><p style=\"text-align: justify\">Das Plugin wird kostenlos von WDCEE für Kunden zur Verfügung gestellt und darf ausschließlich für die Anbindung an die WDCEE Payment Plattform verwendet werden. Das Plugin zählt ausdrücklich nicht zum üblichen Leistungsumfang der WDCEE betreffend Zahlungabwicklung. Das Plugin wurde erfolgreich unter bestimmten Umständen getestet die als Standardkonfiguration des Shopsystems (Hersteller Auslieferungszustand des Shopsystems) definiert sind. Der Kunde ist verantwortlich, die einwandfreie Funktion des Plugins sicherzustellen, bevor es produktiv verwendet wird.</p><p style=\"text-align: justify\">Der Kunde verwendet das Plugin auf eigenes Risiko. WDCEE übernimmt keine Garantie für die einwandfreie Funktionalität des Plugins. Des weitern wird von WDCEE keinerlei Haftung für Schäden übernommen, die dem Kunden in Verbindung mit dem Einsatz des Plugins entstehen. Mit der Installation des Plugins stimmt der Kunde diesen Nutzungsbedingungen zu. Bitte verwenden Sie das Plugin nicht wenn Sie mit dieser Vereinbarung nicht einverstanden sind!</p>"
"Seamless","Seamless"
"The Payment Method will be integrated Seamless into the Payment Checkout Step.","Die Zahlungsart integriert sich nahtlos in den Checkout Prozess."
"Data Storage Version","Data Storage Version"
"The Version of the Seamless Data Storage Library.","Die Version der Seamless Data Storage Bibliothek"
"Payment Data","Zahlungsdaten"
"The User Data which will be asked for Seamless Payment.","Die benötigten Benutzer Daten für die Zahlung im Seamless mode."
"Full Bank-Data","Komplette Bankdaten"
"Bic / Iban","Bic / Iban"
"Cardholder Name","Name auf der Karte"
"Pan","Kreditkartennummer"
"Pan (for your protection only the last 4 numbers are saved)","Kreditkartennummer (Für Ihre Sicherheit werden nur die letzten 4 Stellen gespeichert)"
"Expiration date","Gültig bis "
"Expiration Month","Monat"
"Expiration Year","Jahr"
"Card Verify Code","Kartenprüfnummer "
"Issue date","Ausstellungsdatum"
"Issue Month","Monat"
"Issue Year","Jahr"
"Account Owner","Kontoinhaber"
"Bank Account","Kontonummer"
"Bank Number","Bankleitzahl"
"Payer Paybox Number","Paybox Nummer"
"Bank Name","Bankname"
"Bank Country","Sitz der Bank"
"Bank Bic","Bic der Bank"
"Bank Account Iban","Iban des Kontos"
"Bank","Bank"
"Choose your bank...","Wählen sie ihre Bank..."
"Germany","Deutschland"
"Austria","Österreich"
"Nederlands","Niederlande"

"An error during the payment process occurred.","Beim verarbeiten der Zahlung ist ein Fehler aufgetreten."
"The given bank is not participating.","Die gewählte Bank beteiligt sich nicht an dieser Zahlungsart."
"Unknown error ID.","Diese Zahlungsart ist momentan leider nicht verfügbar. Bitte wählen Sie eine andere oder probieren es später noch einmal."
"This payment mode is not supported (yet).","Diese Zahlungsart wird momentan noch nicht unterstützt."
"Invalid merchant configuration.","Diese Zahlungsart ist momentan leider nicht verfügbar. Bitte wählen Sie eine andere oder probieren es später noch einmal."
"Regrettably, this transaction cannot be processed at the moment because of a crypto error. Please try again later.","Diese Zahlungsart ist momentan leider nicht verfügbar. Bitte wählen Sie eine andere oder probieren es später noch einmal."
"The usage of real payment information (e.g. credit card number) is not allowed in demo mode.","Die Benutzung von echten Zahlungsinformationen ist im DEMO Modus nicht gestattet."
"Change payment information","Zahlungsdaten ändern"
"Card Issue Number","Kartenfolgenummer"
"Payment processing","Zahlung wird durchgeführt"
